,Language,Day,Word
0,English,Happy Thanksgiving Day,Happy Thanksgiving
1,French,le Jour de Merci Donnant,Action de grâce
2,Spanish,el Día de Acción de Gracias,Feliz Día de Acción de Gracias!
3,Portuguese,O Dia de Acção de Graças,Feliz (dia de) acção de graças
4,German,Danksagung,Herzliche Danksagung
5,Hebrew,חג ההודיה שמח,חג הודיה שמח
6,Russian,С Днем Благодарения день,счастливого дня благодарения
7,Igbo,Ekele ụbọchị,ekele ekele
8,Yoruba,ojó idupe,idunnu idunnu
9,Hindi,धन्यवाद दिवस की शुभकामनाएं,थैंक्सगिविंग की शुभकामनाएं
10,Arabic,عيد شكر سعيد,عيد شكر سعيد
11,Danish,Helligdag,Glædelig Helligdag
12,Twi,Aseda Da,Aseda(Afehyiapa)
13,Dutch,Gedenkdagen,Vrolijke gedenkdagen
14,Swedish,Helgdag,God Helgdag
15,Polish,Dzień Dziękczynienia,Święto dziękczynienia
16,Chinese,感恩節日 [感恩节日] (gănēnjiérì),感恩節快樂 [感恩节快乐] (gănēnjié kuàilè)
17,Japanese,感謝祭 (kanshasai),感謝祭おめでとう (kanshasai omedetō)
